year,Entity,depression_pct
2014,Lesotho,
2014,Lesotho,
2014,Lesotho,
2015,Lesotho,5.63104
2015,Lesotho,
2015,Lesotho,
2015,Lesotho,
2016,Lesotho,5.63577
2016,Lesotho,
2016,Lesotho,
2016,Lesotho,
2017,Lesotho,5.636661
2017,Lesotho,
2017,Lesotho,
2017,Lesotho,
2018,Lesotho,
2018,Lesotho,
2019,Lesotho,
2019,Lesotho,
1800,Morocco,
1800,Morocco,
1801,Morocco,
1801,Morocco,
1802,Morocco,
1802,Morocco,
1803,Morocco,
1803,Morocco,
1804,Morocco,
1804,Morocco,
1805,Morocco,
1805,Morocco,
1806,Morocco,
1806,Morocco,
1807,Morocco,
1807,Morocco,
1808,Morocco,
1808,Morocco,
1809,Morocco,
1809,Morocco,
1810,Morocco,
1810,Morocco,
1811,Morocco,
1811,Morocco,
1812,Morocco,
1812,Morocco,
1813,Morocco,
1813,Morocco,
1814,Morocco,
1814,Morocco,
1815,Morocco,
1815,Morocco,
1816,Morocco,
1816,Morocco,
1817,Morocco,
1817,Morocco,
1818,Morocco,
1818,Morocco,
1819,Morocco,
1819,Morocco,
1820,Morocco,
1820,Morocco,
1821,Morocco,
1821,Morocco,
1822,Morocco,
1822,Morocco,
1823,Morocco,
1823,Morocco,
1824,Morocco,
1824,Morocco,
1825,Morocco,
1825,Morocco,
1826,Morocco,
1826,Morocco,
1827,Morocco,
1827,Morocco,
1828,Morocco,
1828,Morocco,
1829,Morocco,
1829,Morocco,
1830,Morocco,
1830,Morocco,
1831,Morocco,
1831,Morocco,
1832,Morocco,
1832,Morocco,
1833,Morocco,
1833,Morocco,
1834,Morocco,
1834,Morocco,
1835,Morocco,
1835,Morocco,
1836,Morocco,
1836,Morocco,
1837,Morocco,
1837,Morocco,
1838,Morocco,
1838,Morocco,
1839,Morocco,
1839,Morocco,
1840,Morocco,
1840,Morocco,
1841,Morocco,
1841,Morocco,
1842,Morocco,
1842,Morocco,
1843,Morocco,
1843,Morocco,
1844,Morocco,
1844,Morocco,
1845,Morocco,
1845,Morocco,
1846,Morocco,
1846,Morocco,
1847,Morocco,
1847,Morocco,
1848,Morocco,
1848,Morocco,
1849,Morocco,
1849,Morocco,
1850,Morocco,
1850,Morocco,
1851,Morocco,
1851,Morocco,
1852,Morocco,
1852,Morocco,
1853,Morocco,
1853,Morocco,
1854,Morocco,
1854,Morocco,
1855,Morocco,
1855,Morocco,
1856,Morocco,
1856,Morocco,
1857,Morocco,
1857,Morocco,
1858,Morocco,
1858,Morocco,
1859,Morocco,
1859,Morocco,
1860,Morocco,
1860,Morocco,
1861,Morocco,
1861,Morocco,
1862,Morocco,
1862,Morocco,
1863,Morocco,
1863,Morocco,
1864,Morocco,
1864,Morocco,
1865,Morocco,
1865,Morocco,
1866,Morocco,
1866,Morocco,
1867,Morocco,
1867,Morocco,
1868,Morocco,
1868,Morocco,
1869,Morocco,
1869,Morocco,
1870,Morocco,
1870,Morocco,
1871,Morocco,
1871,Morocco,
1872,Morocco,
1872,Morocco,
1873,Morocco,
1873,Morocco,
1874,Morocco,
1874,Morocco,
1875,Morocco,
1875,Morocco,
1876,Morocco,
1876,Morocco,
1877,Morocco,
1877,Morocco,
1878,Morocco,
1878,Morocco,
1879,Morocco,
1879,Morocco,
1880,Morocco,
1880,Morocco,
1881,Morocco,
1881,Morocco,
1882,Morocco,
1882,Morocco,
1883,Morocco,
1883,Morocco,
1884,Morocco,
1884,Morocco,
1885,Morocco,
1885,Morocco,
1886,Morocco,
1886,Morocco,
1887,Morocco,
1887,Morocco,
1888,Morocco,
1888,Morocco,
1889,Morocco,
1889,Morocco,
1890,Morocco,
1890,Morocco,
1891,Morocco,
1891,Morocco,
1892,Morocco,
1892,Morocco,
1893,Morocco,
1893,Morocco,
1894,Morocco,
1894,Morocco,
1895,Morocco,
1895,Morocco,
1896,Morocco,
1896,Morocco,
1897,Morocco,
1897,Morocco,
1898,Morocco,
1898,Morocco,
1899,Morocco,
1899,Morocco,
1900,Morocco,
